,name,"12 MacBook (Mid 2017, Gold) CPE","12 MacBook (Mid 2017, Silver) CPE",12.3 32GB Multi-Touch 2-in-1 Chromebook Plus CPE,"13.3 MacBook Air (Mid 2017, Silver) CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Silver) CPE","15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray) CPE",ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X CPE,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray"" CPE",Acer 15.6 Chromebook CB5-571-C4G4 CPE,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver"" CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver"" CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray"" CPE","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver"" CPE","Apple 13.3 MacBook Air ( Silver)"" CPE","Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English"" CPE","Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver"" CPE","Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English"" CPE","Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum"" CPE","Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red"" CPE","Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver"" CPE","Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M"" CPE","Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd"" CPE","Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd"" CPE","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb"" CPE","Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)"" CPE","Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq"" CPE","Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me..."" CPE","Details About Razer Blade Laptop 14 Full Hd (i77700hq"" CPE","Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop"" CPE","HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black"" CPE","HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10"" CPE","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue"" CPE","Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS"" CPE","Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1 CPE","Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB"" CPE","MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black"" CPE","New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10"" CPE","Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black"" CPE","Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black"" CPE"
1,"12 MacBook (Mid 2017, Gold)",-9.33,15.5,-1.11,-6.17,5.88,7.41,2.0,0.87,0.66,18.33,8.99,9.57,29.89,3.07,2.4,4.42,11.48,-8.41,9.86,-4.37,13.07,6.02,4.92,11.38,0.68,-5.24,1.73,-0.78,1.84,5.44,0.4,0.04,-2.14,3.77,-0.86,19.11,-2.46,19.57,7.43
2,"12 MacBook (Mid 2017, Silver)",-12.55,-10.45,-3.34,-12.59,-16.04,-13.66,-2.45,-4.77,-1.07,-8.25,-13.02,-12.06,-11.34,-6.9,-9.0,-5.13,-12.87,-13.06,-5.87,-10.72,-2.38,-13.32,-10.46,-6.0,-2.72,-8.83,-8.06,-15.44,-0.15,-5.68,-2.55,-1.42,-5.64,-1.01,-2.68,-20.77,-7.2,-37.07,-3.81
3,12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,-35.56,-26.28,-7.2,-23.94,-40.68,-26.81,-5.62,-6.72,-1.45,-21.08,-30.99,-28.97,-34.79,-9.2,-15.9,-7.07,-23.65,-22.71,-13.61,-15.92,-0.59,-23.64,-16.77,-18.2,-4.8,-16.14,-12.43,-25.99,0.1,-12.66,-4.02,-3.16,-7.42,-1.62,-6.07,-34.06,-7.29,-84.96,-6.24
4,"13.3 MacBook Air (Mid 2017, Silver)",1.45,3.71,0.16,2.71,-3.84,-3.85,2.17,-1.95,-0.16,-0.28,1.95,2.11,-1.8,-4.31,-3.17,-2.65,-5.64,2.15,-3.2,-2.14,-3.56,2.29,1.08,-4.76,-0.63,2.76,-0.35,-0.59,0.0,-1.06,-0.01,-0.26,-2.35,-1.15,-0.39,-3.32,-2.8,-1.67,-0.57
5,"15.4 MacBook Pro with Touch Bar (Late 2016, Silver)",1.13,-1.01,-2.43,1.23,-37.74,-31.16,-0.39,-12.36,-2.46,-8.55,-0.39,0.75,1.29,-19.26,-13.14,-16.8,-19.65,-2.86,-1.75,-8.66,-15.74,-20.48,-14.0,1.65,-3.3,-5.52,-8.75,-19.35,-0.7,-6.39,-7.24,-1.48,-4.7,-2.09,-3.21,-29.49,-11.7,-25.41,-4.29
6,"15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",6.28,11.79,0.48,-0.74,19.89,4.79,0.5,3.04,0.28,10.69,7.42,4.72,6.44,6.04,7.16,2.48,9.45,-2.86,0.48,-0.07,13.36,6.02,-6.46,2.9,-1.67,1.24,-2.65,-5.28,-0.33,6.27,2.21,1.09,-1.05,1.55,1.67,14.95,0.59,11.24,1.1
7,ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,-18.34,-18.53,-3.18,-22.46,-5.65,-17.0,-4.95,3.25,0.02,-21.08,-25.0,-22.63,-22.16,1.73,2.4,4.24,-7.92,-9.48,-1.81,-6.1,1.19,-26.5,-10.31,-17.17,-1.4,-15.59,-4.95,-10.75,-0.15,-6.51,-0.8,-1.2,-1.2,-1.28,-1.78,-22.43,2.46,-31.65,-0.86
8,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",-24.78,-18.2,-6.29,-29.12,-51.07,-63.78,-7.68,-14.96,-1.39,-27.49,-28.52,-26.86,-22.93,-28.75,-19.94,-10.61,-43.65,-51.86,-11.85,-43.71,-6.24,-75.35,-34.76,-9.51,-8.51,-38.21,-20.38,-56.48,1.41,-22.25,-15.09,-0.72,-25.03,1.55,-6.13,-107.99,-42.8,-176.17,-16.48
9,Acer 15.6 Chromebook CB5-571-C4G4,-0.8,-5.39,-1.71,-6.91,-8.36,-16.13,0.17,-2.39,-1.39,-8.86,-8.33,-6.47,-4.64,-7.57,-2.91,-6.9,-12.22,7.51,-0.85,-4.62,-5.05,-12.32,-5.38,-13.65,-1.54,0.28,-5.41,-9.77,-0.16,-3.31,0.34,-1.57,-3.87,-4.04,-1.67,-12.88,-2.12,7.91,1.95
10,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""",-11.26,-4.04,-2.67,-7.65,-8.59,-7.99,-3.34,-5.2,-2.3,-18.02,-7.03,-7.83,-8.76,-4.79,-8.85,-5.84,-8.02,-29.51,-4.35,-12.95,-9.8,-14.04,-14.92,5.79,-7.56,-20.0,-8.4,-17.0,0.58,-7.93,-8.99,-0.31,-11.44,0.61,-1.49,-34.06,-18.39,-75.8,-9.15
