product,observations,price_elasticity,r2,se,t_stat,p_value,ci_95_lower,ci_95_upper,bootstrap_lower,bootstrap_upper,avg_price,avg_demand,min_price,max_price
Nikon - AF-S NIKKOR 400mm f/2.8E FL ED VR Lens for Select Nikon DSLR Cameras - Black,34,-74.5849544105121,0.5402399763392415,12.16321780994787,-6.132008451703601,7.411098083614522e-07,-99.36061833136266,-49.809290489661535,-10292.47877248194,-70.75560489374455,10522.446764705881,28.41176470588235,10499.99,10879.95
Details About Netgear Modem Vdsl/adsl Broadband High Speed Dsl Dm200 Verizon At&t Used!,19,-28.20437668409694,0.10828431993117937,19.63009767785927,-1.4367924779054246,0.16892656088925978,-69.62026255923136,13.21150919103749,-74.00593460023565,106.220524802056,60.09368421052631,8.157894736842104,58.99,62.29
BS-GS2024P 24 Gigabit PoE Smart Switch,13,-21.907526268376756,0.914840184805845,2.0153094307654356,-10.870552151416296,3.1911038444054175e-07,-26.343192418466696,-17.471860118286816,-42.630140063422786,-21.53272781387737,393.91307692307686,6.6923076923076925,384.99,429.99
Visidec - Focus Double Swing Arm Mount - Polished Silver,14,-21.369510829241033,0.059890861156973174,24.440653622284596,-0.874342853488855,0.39909252255134664,-74.6211205068344,31.88209884835233,-42.9312762892192,22.015696672219335,125.9914285714286,3.2857142857142856,124.99,127.65
Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,21,-20.644905452545228,0.3805428300543471,6.042824314526548,-3.4164331739574565,0.002894810616199484,-33.29268209941242,-7.997128805678038,-45.515869653452434,-14.238399442626605,66.32428571428572,7.285714285714286,64.99,74.99
AF-S NIKKOR 85mm f/1.8G Lens,45,-17.185848277397746,0.5238323314515827,2.498736998908982,-6.877813985586144,1.9343565009649424e-08,-22.22503169101943,-12.146664863776058,-20.357766317317477,-14.018355851369199,433.3297777777777,9.577777777777778,419.95,476.95
Nikon AF-S FX NIKKOR 200-500mm f/5.6E ED Vibration Reduction Zoom Lens with Auto Focus for Nikon DSLR Cameras,58,-14.827529809121604,0.2275021638054464,3.6511582967548204,-4.061048194568949,0.00015345350065739652,-22.1416787801401,-7.513380838103106,-34.506212104048736,-9.882895161062793,1213.0184482758623,11.172413793103448,1168.0,1396.95
Details About Netgear Cm1000 Docsis 3.1 Ultrahigh Speed Cable Modem,31,-11.897365136258987,0.1833556566192731,4.662524364822747,-2.5517003677280052,0.0162528013021079,-21.433298174360424,-2.3614320981575503,-21.99170420735977,-2.3679280128637963,175.27677419354833,4.741935483870968,169.99,179.99
Cobra - CDR895D Front and Rear Camera Dash Cam - Black,15,-11.513433358402434,0.611736216801612,2.5439848455123317,-4.525747619413885,0.0005698210267731315,-17.009378481159086,-6.017488235645781,-30.185415131804707,-8.355783265600486,146.7986666666667,4.866666666666666,139.99,179.99
Seagate Backup Plus Hub 8TB External Desktop Hard Drive Storage + 2mo Adobe CC Photography (STEL8000100),36,-9.9362271287364,0.6878186525409833,1.1480176172500876,-8.655117290392472,4.110237162639693e-10,-12.2692796279929,-7.6031746294799,-11.826915100278686,-8.865731901607719,183.74916666666664,3.7222222222222223,167.6,207.93
